Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"energia solar";"Fornecedor de equipamentos a energia solar";"Azo 0";"Av. Jorge Zarur, 471 - Vila Ema, São José dos Campos - SP, 12243-081";"471 - Vila Ema";"Sao Paulo";"12243";"Brazil";" 012981381096";"";"/url?q>>u003dhttp://azoenergiasolar.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjQms2Gn6-HAxWcqJUCHZUoC8wQ61gIFCgQ>>u0026usg>>u003dAOvVaw0RdtKPBMaRo_Za11R73Oyb";"-23.2082719";"-45.9026505";"https://maps.google.com/?cid=0x0:0x1109893d8098f54c";""
"energia solar";"Fornecedor de equipamentos a energia solar";"Azo 1";"Av. Jorge Zarur, 471 - Vila Ema, São José dos Campos - SP, 12243-081";"471 - Vila Ema";"Sao Paulo";"12243";"Brazil";" 012981381096";"";"/url?q>>u003dhttp://azoenergiasolar.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjQms2Gn6-HAxWcqJUCHZUoC8wQ61gIFCgQ>>u0026usg>>u003dAOvVaw0RdtKPBMaRo_Za11R73Oyb";"-23.2082719";"-45.9026505";"https://maps.google.com/?cid=0x0:0x1109893d8098f54c";""
"energia solar";"Fornecedor de equipamentos a energia solar";"Azo 2";"Av. Jorge Zarur, 471 - Vila Ema, São José dos Campos - SP, 12243-081";"471 - Vila Ema";"Sao Paulo";"12243";"Brazil";" 012981381096";"";"/url?q>>u003dhttp://azoenergiasolar.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjQms2Gn6-HAxWcqJUCHZUoC8wQ61gIFCgQ>>u0026usg>>u003dAOvVaw0RdtKPBMaRo_Za11R73Oyb";"-23.2082719";"-45.9026505";"https://maps.google.com/?cid=0x0:0x1109893d8098f54c";""
"energia solar";"Fornecedor de equipamentos a energia solar";"Azo 3";"Av. Jorge Zarur, 471 - Vila Ema, São José dos Campos - SP, 12243-081";"471 - Vila Ema";"Sao Paulo";"12243";"Brazil";" 012981381096";"";"/url?q>>u003dhttp://azoenergiasolar.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjQms2Gn6-HAxWcqJUCHZUoC8wQ61gIFCgQ>>u0026usg>>u003dAOvVaw0RdtKPBMaRo_Za11R73Oyb";"-23.2082719";"-45.9026505";"https://maps.google.com/?cid=0x0:0x1109893d8098f54c";""
"energia solar";"Fornecedor de equipamentos a energia solar";"Azo 4";"Av. Jorge Zarur, 471 - Vila Ema, São José dos Campos - SP, 12243-081";"471 - Vila Ema";"Sao Paulo";"12243";"Brazil";" 012981381096";"";"/url?q>>u003dhttp://azoenergiasolar.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjQms2Gn6-HAxWcqJUCHZUoC8wQ61gIFCgQ>>u0026usg>>u003dAOvVaw0RdtKPBMaRo_Za11R73Oyb";"-23.2082719";"-45.9026505";"https://maps.google.com/?cid=0x0:0x1109893d8098f54c";""
"energia solar";"Fornecedor de equipamentos a energia solar";"Azo 5";"Av. Jorge Zarur, 471 - Vila Ema, São José dos Campos - SP, 12243-081";"471 - Vila Ema";"Sao Paulo";"12243";"Brazil";" 012981381096";"";"/url?q>>u003dhttp://azoenergiasolar.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjQms2Gn6-HAxWcqJUCHZUoC8wQ61gIFCgQ>>u0026usg>>u003dAOvVaw0RdtKPBMaRo_Za11R73Oyb";"-23.2082719";"-45.9026505";"https://maps.google.com/?cid=0x0:0x1109893d8098f54c";""
"energia solar";"Fornecedor de equipamentos a energia solar";"Azo 6";"Av. Jorge Zarur, 471 - Vila Ema, São José dos Campos - SP, 12243-081";"471 - Vila Ema";"Sao Paulo";"12243";"Brazil";" 012981381096";"";"/url?q>>u003dhttp://azoenergiasolar.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjQms2Gn6-HAxWcqJUCHZUoC8wQ61gIFCgQ>>u0026usg>>u003dAOvVaw0RdtKPBMaRo_Za11R73Oyb";"-23.2082719";"-45.9026505";"https://maps.google.com/?cid=0x0:0x1109893d8098f54c";""
"energia solar";"Fornecedor de equipamentos a energia solar";"Azo 7";"Av. Jorge Zarur, 471 - Vila Ema, São José dos Campos - SP, 12243-081";"471 - Vila Ema";"Sao Paulo";"12243";"Brazil";" 012981381096";"";"/url?q>>u003dhttp://azoenergiasolar.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjQms2Gn6-HAxWcqJUCHZUoC8wQ61gIFCgQ>>u0026usg>>u003dAOvVaw0RdtKPBMaRo_Za11R73Oyb";"-23.2082719";"-45.9026505";"https://maps.google.com/?cid=0x0:0x1109893d8098f54c";""
"energia solar";"Fornecedor de equipamentos a energia solar";"Azo 8";"Av. Jorge Zarur, 471 - Vila Ema, São José dos Campos - SP, 12243-081";"471 - Vila Ema";"Sao Paulo";"12243";"Brazil";" 012981381096";"";"/url?q>>u003dhttp://azoenergiasolar.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjQms2Gn6-HAxWcqJUCHZUoC8wQ61gIFCgQ>>u0026usg>>u003dAOvVaw0RdtKPBMaRo_Za11R73Oyb";"-23.2082719";"-45.9026505";"https://maps.google.com/?cid=0x0:0x1109893d8098f54c";""
"energia solar";"Fornecedor de equipamentos a energia solar";"Azo 9";"Av. Jorge Zarur, 471 - Vila Ema, São José dos Campos - SP, 12243-081";"471 - Vila Ema";"Sao Paulo";"12243";"Brazil";" 012981381096";"";"/url?q>>u003dhttp://azoenergiasolar.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjQms2Gn6-HAxWcqJUCHZUoC8wQ61gIFCgQ>>u0026usg>>u003dAOvVaw0RdtKPBMaRo_Za11R73Oyb";"-23.2082719";"-45.9026505";"https://maps.google.com/?cid=0x0:0x1109893d8098f54c";""
